id,data.aspect,data.start_elev,data.location_lat,data.location_long
956,NE,3300.0,58.3,-134.6
917,E,2600.0,58.3,-134.5
785,S,1500.0,58.3,-134.4
867,SW,2500.0,58.3,-134.5
868,N,2800.0,58.3,-134.5
949,E,3400.0,58.3,-134.2
948,SW,3500.0,58.3,-134.3
950,NW,3300.0,58.3,-134.2
807,W,2750.0,58.0,-134.0
808,W,3050.0,58.1,-134.0
1011,S,3600.0,58.1,-133.9
896,WNW,2200.0,58.3,-134.5
860,S,2900.0,58.3,-134.5
936,W,2800.0,58.2,-134.4
809,E,2650.0,58.1,-133.8
918,SE,2900.0,58.3,-134.5
879,NW,2550.0,58.3,-134.5
833,N,4200.0,58.2,-134.0
797,SW,2000.0,58.3,-134.4
798,SW,1900.0,58.3,-134.4
799,W,1800.0,58.3,-134.4
787,SSE,2000.0,58.3,-134.4
836,W,3200.0,58.3,-134.4
837,NW,2600.0,58.3,-134.4
795,SW,3000.0,58.3,-134.4
904,W,2650.0,58.3,-134.5
986,WNW,3100.0,58.3,-134.4
985,NW,3200.0,58.4,-134.4
987,NW,3450.0,58.4,-134.4
988,S,3400.0,58.3,-134.4
873,E,2600.0,58.3,-134.5
782,WSW,1000.0,58.3,-134.4
811,NNE,3200.0,58.1,-133.8
999,SW,3600.0,58.4,-134.5
845,NW,2800.0,58.3,-134.5
842,N,3400.0,58.3,-134.5
846,SSE,3000.0,58.3,-134.5
977,S,4400.0,58.3,-134.4
790,S,3000.0,58.3,-134.4
963,NW,4000.0,58.3,-134.3
849,SE,3000.0,58.3,-134.5
1075,E,1400.0,58.1,-133.7
905,W,2700.0,58.3,-134.5
838,ESE,3100.0,58.3,-134.5
955,NE,3000.0,58.3,-134.6
925,WNW,2550.0,58.3,-134.5
881,W,2450.0,58.3,-134.5
926,W,2400.0,58.3,-134.4
812,SE,3600.0,58.1,-133.8
919,E,2700.0,58.3,-134.5
930,E,2350.0,58.3,-134.4
960,W,3000.0,58.3,-134.6
875,W,2950.0,58.3,-134.5
898,NW,2050.0,58.3,-134.5
788,S,2200.0,58.3,-134.4
843,N,3400.0,58.3,-134.5
961,W,3200.0,58.3,-134.6
858,NE,2900.0,58.3,-134.5
781,SW,2000.0,58.3,-134.4
937,NW,2400.0,58.3,-134.4
789,SSE,3100.0,58.3,-134.4
970,NNE,3300.0,58.3,-134.3
844,NNE,3000.0,58.3,-134.5
951,NNE,3100.0,58.3,-134.6
1006,SSW,3700.0,58.5,-134.6
1007,SW,3600.0,58.5,-134.7
1008,WSW,4000.0,58.5,-134.7
966,NW,3600.0,58.3,-134.3
967,NE,3200.0,58.3,-134.3
965,NW,3400.0,58.3,-134.3
964,S,3600.0,58.3,-134.3
791,S,2600.0,58.3,-134.4
796,SW,2000.0,58.3,-134.4
894,NW,2300.0,58.3,-134.5
906,NW,2700.0,58.3,-134.5
839,E,2750.0,58.3,-134.5
825,WNW,4000.0,58.3,-134.2
829,NNW,4000.0,58.3,-134.2
831,S,4000.0,58.2,-134.2
