,obs_date_time,obs_location,sky_cover,precip_type,air_temp_min,air_temp_max,air_temp_current,snow_height,new_snow_height,wind_direction,wind_speed,wind_gust,hazard
0,2015-11-10 06:00:00,Mt Roberts Tram Wx,OVC,RS,33.0,34.8,33.5,2.8,,SW,5.0,10.0,0.0
1,2015-11-11 06:00:00,Mt Roberts Tram Wx,OVC,SN,29.9,33.5,30.0,4.3,,SE,11.0,14.0,0.0
2,2015-11-12 06:00:00,Mt Roberts Tram Wx,OVC,SN,29.6,32.3,31.9,12.6,7.0,SE,27.0,42.0,0.0
3,2015-11-13 06:00:00,Mt Roberts Tram Wx,OVC,SN,31.6,32.4,31.7,14.2,5.0,SE,26.0,29.0,0.0
4,2015-11-13 06:00:00,Speel Arm Balcony Wx,OVC,SN,30.6,32.5,31.4,19.0,5.0,SSW,7.1,23.3,0.0
5,2015-11-13 06:00:00,Snowslide Creek Wx,OVC,RA,38.0,41.4,38.9,,,ESE,10.6,35.4,0.0
6,2015-11-14 06:00:00,Speel Arm Balcony Wx,OVC,NO,31.2,33.4,32.4,,,S,4.7,25.1,0.0
7,2015-11-14 06:00:00,Mt Roberts Tram Wx,OVC,SN,31.6,32.4,31.8,22.4,7.0,SSE,10.0,10.0,0.0
8,2015-11-14 06:00:00,Snowslide Creek Wx,OVC,RA,31.2,33.4,31.2,0.0,0.0,SSW,1.1,25.1,0.0
9,2015-11-15 06:00:00,Mt Roberts Tram Wx,OVC,SN,28.2,31.8,28.2,29.9,6.0,SE,5.0,7.0,0.0
10,2015-11-15 06:00:00,Snowslide Creek Wx,OVC,SN,33.6,38.9,34.0,0.0,0.0,E,2.5,29.8,0.0
11,2015-11-15 06:00:00,Speel Arm Balcony Wx,OVC,NO,26.8,32.4,26.8,,,N,0.0,18.3,0.0
12,2015-11-16 06:00:00,Mt Roberts Tram Wx,OVC,NO,24.9,32.9,25.4,31.9,4.0,SSE,17.0,23.0,0.0
13,2015-11-16 06:00:00,Snowslide Creek Wx,OVC,NO,32.7,37.4,33.1,0.0,1.0,N,0.6,15.5,0.0
14,2015-11-16 06:00:00,Speel Arm Balcony Wx,OVC,NO,24.5,28.2,26.8,,,,0.0,0.0,0.0
15,2015-11-17 06:00:00,Mt Roberts Tram Wx,BKN,SN,24.6,26.7,25.5,32.7,3.0,SSW,10.0,15.0,0.0
16,2015-11-18 06:00:00,Mt Roberts Tram Wx,X,SN,23.5,26.4,24.9,37.0,4.0,SSE,10.0,16.0,1.0
17,2015-11-18 06:00:00,Snowslide Creek Wx,OVC,SN,30.6,33.8,32.2,6.0,4.0,ESE,7.5,12.4,1.0
18,2015-11-18 06:00:00,Speel Arm Balcony Wx,X,SN,24.7,27.0,26.2,,,S,4.6,13.0,0.0
19,2015-11-20 06:00:00,Mt Roberts Tram Wx,OVC,SN,21.0,31.8,31.8,39.0,2.0,SE,19.0,30.0,1.0
20,2015-11-20 06:00:00,Snowslide Creek Wx,OVC,RA,27.3,39.2,39.2,2.0,1.0,E,7.5,15.5,1.0
21,2015-11-20 06:00:00,Speel Arm Balcony Wx,OVC,SN,24.3,32.4,32.4,,,WNW,5.1,17.8,1.0
22,2015-11-19 06:00:00,Mt Roberts Tram Wx,OVC,SN,20.8,27.3,21.0,39.8,4.0,S,3.0,10.0,1.0
23,2015-11-19 06:00:00,Snowslide Creek Wx,OVC,RA,27.0,32.0,29.0,3.0,2.0,W,0.0,2.0,1.0
24,2015-11-19 06:00:00,Speel Arm Balcony Wx,OVC,SN,23.7,26.8,24.3,,,SSW,3.4,11.5,1.0
