id,obs_date_time,observer,obs_location,sky_cover,precip_type,precip_rate,air_temp_min,air_temp_max,air_temp_current,snow_temp_20,penetration_foot,surfacepentype,snow_height,new_snow_height,swe24,new_snow_density,new_snow_water,wind_direction,wind_speed,wind_gust,hazard,comments,air_temp_trend,precip_intensity,relative_humidity,barometric_pressure,barometric_trend,penetration_ski,penetration_ram,surface_snow,snow_board_type,rain,accumulated_precip,blowing_snow,blowing_snow_dir,frz_lvl_min,frz_lvl_max,frz_lvl_cur,sno_stl,inversion,sh_nsf_obs
351,"2015-11-10 06:00:00",mike,"Mt Roberts Tram Wx",OVC,RS,S-1,33.0,34.8,33.5,NULL,2.80,PF,2.80,NULL,NULL,NULL,1.70,SW,5.0,10.0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
352,"2015-11-11 06:00:00",mike,"Mt Roberts Tram Wx",OVC,SN,S-1,29.9,33.5,30.0,NULL,4.00,PF,4.30,NULL,NULL,NULL,0.40,SE,11.0,14.0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
353,"2015-11-12 06:00:00",mike,"Mt Roberts Tram Wx",OVC,SN,S2,29.6,32.3,31.9,NULL,7.00,PF,12.60,7.00,NULL,NULL,0.60,SE,27.0,42.0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,"2015-11-13 06:00:00",mike,"Mt Roberts Tram Wx",OVC,SN,S2,31.6,32.4,31.7,NULL,8.00,PF,14.20,5.00,NULL,NULL,1.30,SE,26.0,29.0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,"2015-11-13 06:00:00",mike,"Speel Arm Balcony Wx",OVC,SN,S-1,30.6,32.5,31.4,NULL,NULL,PR,19.00,5.00,NULL,NULL,NULL,SSW,7.1,23.3,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,"2015-11-13 06:00:00",mike,"Snowslide Creek Wx",OVC,RA,RM,38.0,41.4,38.9,NULL,0.00,PF,NULL,NULL,NULL,NULL,NULL,ESE,10.6,35.4,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,"2015-11-14 06:00:00",mike,"Speel Arm Balcony Wx",OVC,NO,,31.2,33.4,32.4,NULL,NULL,PR,NULL,NULL,NULL,NULL,NULL,S,4.7,25.1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,"2015-11-14 06:00:00",mike,"Mt Roberts Tram Wx",OVC,SN,S1,31.6,32.4,31.8,NULL,NULL,PR,22.40,7.00,NULL,NULL,1.70,SSE,10.0,10.0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
359,"2015-11-14 06:00:00",mike,"Snowslide Creek Wx",OVC,RA,RL,31.2,33.4,31.2,NULL,0.00,PF,0.00,0.00,NULL,NULL,1.07,SSW,1.1,25.1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360,"2015-11-15 06:00:00",mike,"Mt Roberts Tram Wx",OVC,SN,S1,28.2,31.8,28.2,NULL,NULL,PR,29.90,6.00,NULL,NULL,0.90,SE,5.0,7.0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
