obs_date_time,obs_location,sky_cover,precip_type,air_temp_min,air_temp_max,air_temp_current,snow_height,new_snow_height,wind_direction,wind_speed,wind_gust,hazard,avalanche_obs_date_time
11/12/2015,Mt Roberts Tram Wx,OVC,SN,29.6,32.3,31.9,12.6,7,SE,27,42,0,
11/13/2015,Mt Roberts Tram Wx,OVC,SN,31.6,32.4,31.7,14.2,5,SE,26,29,0,
11/13/2015,Speel Arm Balcony Wx,OVC,SN,30.6,32.5,31.4,19,5,SSW,7.1,23.3,0,
11/14/2015,Mt Roberts Tram Wx,OVC,SN,31.6,32.4,31.8,22.4,7,SSE,10,10,0,
11/14/2015,Snowslide Creek Wx,OVC,RA,31.2,33.4,31.2,0,0,SSW,1.1,25.1,0,
11/15/2015,Mt Roberts Tram Wx,OVC,SN,28.2,31.8,28.2,29.9,6,SE,5,7,0,
11/15/2015,Snowslide Creek Wx,OVC,SN,33.6,38.9,34,0,0,E,2.5,29.8,0,
11/16/2015,Mt Roberts Tram Wx,OVC,NO,24.9,32.9,25.4,31.9,4,SSE,17,23,0,
11/16/2015,Snowslide Creek Wx,OVC,NO,32.7,37.4,33.1,0,1,N,0.6,15.5,0,
11/17/2015,Mt Roberts Tram Wx,BKN,SN,24.6,26.7,25.5,32.7,3,SSW,10,15,0,
11/18/2015,Mt Roberts Tram Wx,X,SN,23.5,26.4,24.9,37,4,SSE,10,16,1,
11/18/2015,Snowslide Creek Wx,OVC,SN,30.6,33.8,32.2,6,4,ESE,7.5,12.4,1,
11/20/2015,Mt Roberts Tram Wx,OVC,SN,21,31.8,31.8,39,2,SE,19,30,1,
11/20/2015,Snowslide Creek Wx,OVC,RA,27.3,39.2,39.2,2,1,E,7.5,15.5,1,
11/19/2015,Mt Roberts Tram Wx,OVC,SN,20.8,27.3,21,39.8,4,S,3,10,1,
11/19/2015,Snowslide Creek Wx,OVC,RA,27,32,29,3,2,W,0,2,1,
11/21/2015,Mt Roberts Tram Wx,OVC,RA,31.7,36.2,36.2,37,0,SE,34,42,1,
11/21/2015,Snowslide Creek Wx,OVC,RA,39.4,43.9,43.9,0,0,ESE,23.6,46,1,
11/22/2015,Mt Roberts Tram Wx,OVC,NO,28.3,36.7,28.5,35,0,SSE,11,18,1,
11/22/2015,Snowslide Creek Wx,OVC,NO,34.2,48.8,35.6,0,0,E,3.7,37.9,1,
11/22/2015,Speel Arm Balcony Wx,OVC,RA,29.4,38.6,29.4,13,0,SSW,3.1,29,1,
11/23/2015,Mt Roberts Tram Wx,FEW,NO,21.2,28.9,21.2,39.8,5,SSE,0,6,1,
11/23/2015,Speel Arm Balcony Wx,CLR,NO,23.9,29.4,24,13,3,NW,3.2,13.1,1,
11/24/2015,Mt Roberts Tram Wx,OVC,SN,-6.6,-4.4,-4.4,95,0,SE,8,9,1,
11/24/2015,Snowslide Creek Wx,OVC,NO,-4.3,-0.9,-1.3,0,0,E,0.8,3.1,1,
11/25/2015,Speel Arm Balcony Wx,BKN,NO,-4.4,1.3,1.1,44,1,NNW,0.3,3,1,
11/26/2015,Speel Arm Balcony Wx,FEW,NO,-0.8,6.7,6.6,37,0,SSW,4.2,7.6,1,
11/26/2015,Snowslide Creek Wx,FEW,NO,-0.2,1.7,1,0,0,NE,3.9,6.1,1,
11/26/2015,Mt Roberts Tram Wx,FEW,NO,-2.6,1.9,1.9,88.9,0,SE,7,15,1,
