,obs_date_time,obs_location,sky_cover,precip_type,air_temp_min,air_temp_max,air_temp_current,snow_height,new_snow_height,wind_direction,wind_speed,wind_gust,hazard,avalanche_occured
0,2019-01-01,Mt Roberts Tram,OVC,RA,-0.1,2.7,2.7,71.9,19.0,NNE,0.3,1.0,0.0,No
1,2019-01-01,Speel Arm Balcony,OVC,RA,0.4,3.0,3.0,52.0,8.0,S,4.5,8.5,0.0,No
2,2019-01-01,SS Creek DOT,OVC,RA,3.3,6.9,6.8,0.0,0.0,ESE,5.5,16.1,0.0,No
3,2019-01-01,Snettisham Dorm,OVC,RS,-0.8,0.6,0.3,41.0,0.0,ESE,0.7,4.4,1.0,No
4,2019-01-02,Mt Roberts Tram,OVC,SN,0.1,3.6,0.1,63.0,2.0,N,0.0,1.8,0.0,No
5,2019-01-02,Speel Arm Balcony,X,SN,-0.2,3.7,-0.2,43.0,3.0,SSW,2.6,11.8,0.0,No
6,2019-01-02,SS Creek DOT,OVC,RA,3.5,7.9,3.8,0.0,0.0,ESE,3.6,14.2,0.0,No
7,2019-01-02,Snettisham Dorm,OVC,RA,0.3,7.9,4.0,30.0,0.0,SW,6.2,15.2,1.0,No
8,2019-01-03,Mt Roberts Tram,BKN,SN,-1.3,0.1,-1.3,63.0,2.0,N,0.0,0.0,0.0,No
9,2019-01-03,Speel Arm Balcony,OVC,SN,-1.6,-0.2,-1.5,55.0,15.0,N,0.0,8.4,0.0,No
10,2019-01-03,Snettisham Dorm,OVC,RS,0.0,4.1,0.0,33.0,2.0,NW,0.0,12.4,0.0,No
11,2019-01-04,Mt Roberts Tram,CLR,NO,-3.8,-1.3,-3.7,65.3,0.0,N,0.0,0.0,0.0,No
12,2019-01-04,Speel Arm Balcony,CLR,NO,-5.3,-1.5,-5.3,54.0,0.0,N,0.0,0.0,0.0,No
13,2019-01-04,SS Creek DOT,CLR,NO,-2.1,2.3,-2.0,0.0,0.0,E,0.8,6.9,0.0,No
14,2019-01-04,Snettisham Dorm,CLR,NO,-4.2,1.6,-4.2,33.0,0.0,N,6.7,8.3,0.0,No
15,2019-01-04,4-4 Diverter,CLR,NO,-3.6,1.9,-3.0,53.0,0.0,N,0.0,2.3,0.0,No
16,2019-01-05,Mt Roberts Tram,CLR,NO,-7.0,-3.7,-6.4,63.5,0.0,NNW,0.3,1.5,0.0,No
