,id,client_id,user_id,avalanche_atlas_id,json_schema_id,obs_date_time,data.path_aspect,data.est_date_time,data.obs_date_time,data.relative_size,data.avalanche_type,data.destructive_size,data.avalanche_trigger,data.slab_width,data.path_location,data.path_elevation,data.slab_thickness,data.comments,data.slab_type,data.weak_layer,data.bed_surface,data.vertical_fall
0,66,15,2,775,34,2019-01-13 15:00:00,WNW,2019-01-13 12:00:00,2019-01-13 15:00:00,1.0,U,1.0,N,,,,,,,,,
1,67,15,2,793,34,2019-02-02 14:00:00,WSW,2019-02-02 06:00:00,2019-02-02 14:00:00,1.0,HS,1.0,N,50.0,top left,2700,50.0,,,,,
2,68,15,2,793,34,2019-02-08 09:00:00,WNW,2019-02-08 06:00:00,2019-02-08 09:00:00,1.5,SS,1.0,N,100.0,bottom center,1800,30.0,observed flying over headed to Snettisham for fieldwork; moderate N winds transporting snow,windslab,new snow,old snow surface,
3,69,15,3,784,34,2019-02-28 06:00:00,SW,2019-02-28 06:00:00,2019-02-28 06:00:00,3.0,HS,2.5,N,500.0,Roberts-Gastineau Saddle,2800,,"Observed first by Dustin Carrol, morning of DOT daisybell mission. Slide occurred pre-mission. Slab width, vertical and elevation in feet.",Wind Slab,,,1400.0
4,70,15,3,793,34,2019-02-22 08:30:00,NW,2019-02-22 08:30:00,2019-02-22 08:30:00,,SS,,N,300.0,Windward  N shoulder,2400,,"Slid at beginning of massive outflow event, possibly during storm. Observed from Douglas Breeze In. Crown disappeared within first two days of wind. Debris observed 2/26 at Gold Creek level. Slab Thickness in cm. Width, vertical and elevation in feet.",,,,2000.0
5,71,15,3,792,34,2019-02-23 08:30:00,SSW,2019-02-23 08:30:00,2019-02-23 08:30:00,,SS,2.5,N,400.0,Below main top cliff bench,3000,,"Timelapse video of \\""Downtown Juneau from Douglas Island at 475ft elevation\\"" on thesnowcloud.com showed slide occured at 08:30 and powderblast hit Perseverance Trail. High hazard on Gold Creek paths.",Wind Slab going SS to HS,,,2600.0
6,72,15,3,807,34,2019-03-03 06:00:00,W,2019-02-26 13:00:00,2019-03-03 06:00:00,2.0,HS,2.5,AX,80.0,Main central path of the face,2720,80.0,4th shot of Daisybell mission,hard slab ,Facet sandwich,Meltfreeze Crust,500.0
7,73,15,3,807,34,2019-03-03 06:00:00,W,2019-02-26 13:00:00,2019-03-03 06:00:00,2.0,HS,2.5,AX,80.0,Bottom lookers-right pocket,2650,80.0,3rd shot of Daisybell mission,hard slab ,Facet sandwich,Meltfreeze Crust,500.0
8,74,15,3,809,34,2019-02-08 10:00:00,E,2019-02-08 10:00:00,2019-02-08 10:00:00,1.0,SS,1.0,AR,50.0,"Upper pocket, above bowl",2630,75.0,Rapid wind stripping of light new snow creating isolated ribs of touchy windslab,wind slab,Facet sandwich,Meltfreeze Crust,100.0
9,75,15,3,808,34,2019-02-08 13:00:00,W,2019-02-08 13:00:00,2019-02-08 13:00:00,1.0,SS,0.5,AR,20.0,Lowest wind quarterpipe,3000,45.0,,soft slab,Facet sandwich,Meltfreeze Crust,50.0
